data,cdi_dia_pct,fator,cdi_acumulado
2012-01-03,0.040992,1.00040992,1.1168681147401536
2012-01-04,0.040992,1.00040992,1.1173259413177479
2012-01-05,0.040884,1.00040884,1.1177827488555963
2012-01-06,0.04092,1.0004092,1.118240145556428
2012-01-09,0.040777,1.00040777,1.1186961303405816
2012-01-10,0.040813,1.00040813,1.1191527037922575
2012-01-11,0.040777,1.00040777,1.1196090606902829
2012-01-12,0.040741,1.00040741,1.1200652006176988
2012-01-13,0.040777,1.00040777,1.1205219296045548
2012-01-16,0.040777,1.00040777,1.1209788448317897
2012-01-17,0.040741,1.00040741,1.1214355428229625
2012-01-18,0.040705,1.00040705,1.1218920231606686
2012-01-19,0.038946,1.00038946,1.122328955228009
2012-01-20,0.038982,1.00038982,1.122766461501336
2012-01-23,0.038982,1.00038982,1.1232041383233584
2012-01-24,0.039018,1.00039018,1.1236423901140493
2012-01-25,0.039018,1.00039018,1.1240808129018238
2012-01-26,0.038946,1.00038946,1.1245185974152165
2012-01-27,0.03891,1.0003891,1.124956147601471
2012-01-30,0.03891,1.0003891,1.1253938680385027
2012-01-31,0.038946,1.00038946,1.1258321639343492
2012-02-01,0.03891,1.0003891,1.126270225229336
2012-02-02,0.03891,1.0003891,1.1267084569739727
2012-02-03,0.038982,1.00038982,1.1271476704646703
2012-02-06,0.03891,1.0003891,1.1275862436232482
2012-02-07,0.03891,1.0003891,1.128024987430642
2012-02-08,0.038874,1.00038874,1.1284634958642559
2012-02-09,0.03891,1.0003891,1.1289025810104967
2012-02-10,0.03891,1.0003891,1.1293418370047679
2012-02-13,0.038838,1.00038838,1.1297804507874238
2012-02-14,0.038874,1.00038874,1.1302196416398629
2012-02-15,0.038874,1.00038874,1.1306590032233539
2012-02-16,0.038838,1.00038838,1.1310981285670256
2012-02-17,0.038982,1.00038982,1.1315390532395038
2012-02-22,0.038874,1.00038874,1.1319789277310601
2012-02-23,0.038874,1.00038874,1.1324189732194263
2012-02-24,0.038946,1.00038946,1.1328600051127364
2012-02-27,0.038946,1.00038946,1.1333012087703278
2012-02-28,0.038838,1.00038838,1.13374136029379
2012-02-29,0.038802,1.00038802,1.134181274616411
2012-03-01,0.038802,1.00038802,1.1346213596345875
2012-03-02,0.038766,1.00038766,1.1350612069508634
2012-03-05,0.038766,1.00038766,1.1355012247783498
2012-03-06,0.03873,1.0003873,1.1359410044027065
2012-03-07,0.038622,1.00038622,1.136379727537427
2012-03-08,0.036129,1.00036129,1.136790290169189
2012-03-09,0.036056,1.00036056,1.1372001712762125
2012-03-12,0.035948,1.00035948,1.137608971993783
2012-03-13,0.035875,1.00035875,1.1380170892124857
2012-03-14,0.035839,1.00035839,1.1384249431570885
2012-03-15,0.035839,1.00035839,1.1388329432724664
2012-03-16,0.035984,1.00035984,1.1392427409187735
2012-03-19,0.035948,1.00035948,1.139652275899279
2012-03-20,0.035948,1.00035948,1.1400619580994193
2012-03-21,0.035948,1.00035948,1.1404717875721169
2012-03-22,0.035948,1.00035948,1.1408817643703133
2012-03-23,0.036093,1.00036093,1.1412935428255275
2012-03-26,0.035984,1.00035984,1.1417042258939778
2012-03-27,0.035984,1.00035984,1.1421150567426235
2012-03-28,0.035948,1.00035948,1.1425256242632214
2012-03-29,0.035948,1.00035948,1.1429363393746315
2012-03-30,0.036093,1.00036093,1.143348859387602
2012-04-02,0.03602,1.0003602,1.1437606936467535
2012-04-03,0.03602,1.0003602,1.144172676248605
2012-04-04,0.036129,1.00036129,1.144586054394807
2012-04-05,0.036093,1.00036093,1.1449991698394197
2012-04-09,0.03602,1.0003602,1.1454115985403959
2012-04-10,0.036093,1.00036093,1.145825011948657
2012-04-11,0.035984,1.00035984,1.1462373256209566
2012-04-12,0.035948,1.00035948,1.1466493750147708
2012-04-13,0.035948,1.00035948,1.1470615725321012
2012-04-16,0.035911,1.00035911,1.1474734938134132
2012-04-17,0.035875,1.00035875,1.1478851499293188
2012-04-18,0.035911,1.00035911,1.1482973669655099
2012-04-19,0.033182,1.00033182,1.1486783949978163
2012-04-20,0.033219,1.00033219,1.1490599744738506
2012-04-23,0.033365,1.00033365,1.1494433583343338
2012-04-24,0.033182,1.00033182,1.1498247666294963
2012-04-25,0.033182,1.00033182,1.1502063014835593
2012-04-26,0.033182,1.00033182,1.1505879629385176
2012-04-27,0.033219,1.00033219,1.1509701767539262
2012-04-30,0.033109,1.00033109,1.1513512514697477
2012-05-02,0.033328,1.00033328,1.1517349738148375
2012-05-03,0.033328,1.00033328,1.1521188240469105
2012-05-04,0.033146,1.00033146,1.152500705352329
2012-05-07,0.033146,1.00033146,1.152882713236125
2012-05-08,0.033073,1.00033073,1.1532640061358734
2012-05-09,0.033073,1.00033073,1.1536454251406227
2012-05-10,0.033036,1.00033036,1.1540265434432722
2012-05-11,0.033036,1.00033036,1.1544077876521641
2012-05-14,0.032854,1.00032854,1.1547870567867193
2012-05-15,0.033182,1.00033182,1.1551702382279023
2012-05-16,0.033219,1.00033219,1.1555539742293393
2012-05-17,0.033255,1.00033255,1.1559382537034693
2012-05-18,0.033328,1.00033328,1.1563235048046636
2012-05-21,0.033219,1.00033219,1.1567076239097247
2012-05-22,0.033365,1.00033365,1.1570935594084422
2012-05-23,0.033401,1.00033401,1.1574800402282202
2012-05-24,0.033401,1.00033401,1.1578666501364567
2012-05-25,0.033438,1.00033438,1.1582538175869292
2012-05-28,0.033401,1.00033401,1.1586406859445415
2012-05-29,0.033438,1.00033438,1.1590281122171076
2012-05-30,0.033511,1.00033511,1.1594165141277926
2012-05-31,0.031756,1.00031756,1.159784698436019
2012-06-01,0.031792,1.00031792,1.1601534171873458
2012-06-04,0.031829,1.00031829,1.1605226824185024
2012-06-05,0.031866,1.00031866,1.160892494576482
2012-06-06,0.031719,1.00031719,1.1612607180668368
2012-06-08,0.031866,1.00031866,1.161630765407256
2012-06-11,0.031719,1.00031719,1.1619992230697356
2012-06-12,0.031792,1.00031792,1.162368645862734
2012-06-13,0.031829,1.00031829,1.1627386161790259
2012-06-14,0.031792,1.00031792,1.1631082740398815
2012-06-15,0.031719,1.00031719,1.1634772003533242
2012-06-18,0.031829,1.00031829,1.1638475235114247
2012-06-19,0.031719,1.00031719,1.1642166843074073
2012-06-20,0.031902,1.00031902,1.164588092714035
2012-06-21,0.031939,1.00031939,1.164960050504967
2012-06-22,0.031866,1.00031866,1.165331276674661
2012-06-25,0.031939,1.00031939,1.1657034718311183
2012-06-26,0.031829,1.00031829,1.1660745035891675
2012-06-27,0.031902,1.00031902,1.1664465046773027
2012-06-28,0.031866,1.00031866,1.1668182045204831
2012-06-29,0.031939,1.00031939,1.167190874586825
2012-07-02,0.031866,1.00031866,1.1675628116309207
2012-07-03,0.031866,1.00031866,1.167934867196475
2012-07-04,0.031902,1.00031902,1.1683074617778082
2012-07-05,0.031866,1.00031866,1.1686797546335783
2012-07-06,0.031792,1.00031792,1.1690513013011716
2012-07-09,0.031866,1.00031866,1.1694238311888443
2012-07-10,0.031719,1.00031719,1.1697947607338592
2012-07-11,0.031646,1.00031646,1.1701649539838412
2012-07-12,0.029993,1.00029993,1.1705159215584895
2012-07-13,0.029919,1.00029919,1.1708661282170605
2012-07-16,0.029993,1.00029993,1.1712173060948965
2012-07-17,0.029883,1.00029883,1.1715673009624767
2012-07-18,0.029809,1.00029809,1.1719165334592208
2012-07-19,0.029919,1.00029919,1.1722671591668665
2012-07-20,0.029956,1.00029956,1.1726183235170666
