codigo,empresa,tipo,participacao,qtd_teorica,indice
RADL3,RAIADROGASIL,ON      NM,0.983,1313915830.0,IBRA
RAPT4,RANDON PART,PN      N1,0.033,176793154.0,IBRA
RCSL4,RECRUSUL,PN,0.002,74949368.0,IBRA
RDOR3,REDE D OR,ON      NM,1.369,1091469308.0,IBRA
RIAA3,RIACHUELO,ON      NM,0.024,84545496.0,IBRA
RAIL3,RUMO S.A.,ON      NM,0.621,1221155293.0,IBRA
SBSP3,SABESP,ON      NM,3.537,3506733260.0,IBRA
SAPR11,SANEPAR,UNT     N2,0.255,201077478.0,IBRA
SANB11,SANTANDER BR,UNT,0.387,360347199.0,IBRA
SMTO3,SAO MARTINHO,ON      NM,0.064,123583436.0,IBRA
SEER3,SER EDUCA,ON      NM,0.022,50527159.0,IBRA
CSNA3,SID NACIONAL,ON,0.13,727975012.0,IBRA
SIMH3,SIMPAR,ON      NM,0.038,135653148.0,IBRA
SLCE3,SLC AGRICOLA,ON      NM,0.108,220403658.0,IBRA
SMFT3,SMART FIT,ON      NM,0.404,556651316.0,IBRA
SUZB3,SUZANO S.A.,ON      NM,0.956,612918471.0,IBRA
SYNE3,SYN PROP TEC,ON      NM,0.009,59381237.0,IBRA
TAEE11,TAESA,UNT     N2,0.318,218568234.0,IBRA
TGMA3,TEGMA,ON      NM,0.039,31994720.0,IBRA
VIVT3,TELEF BRASIL,ON  EJ,0.803,707125712.0,IBRA
TEND3,TENDA,ON      NM,0.14,114768786.0,IBRA
TIMS3,TIM,ON      NM,0.529,777451080.0,IBRA
TOTS3,TOTVS,ON      NM,0.632,533997411.0,IBRA
TFCO4,TRACK FIELD,PN      N2,0.027,49474393.0,IBRA
TUPY3,TUPY,ON      NM,0.074,130913780.0,IBRA
UGPA3,ULTRAPAR,ON      NM,1.26,1067870496.0,IBRA
UNIP6,UNIPAR,PNB,0.114,49483367.0,IBRA
USIM5,USIMINAS,PNA     N1,0.141,518256757.0,IBRA
VALE3,VALE,ON      NM,11.91,4268646710.0,IBRA
VLID3,VALID,ON      NM,0.051,75830365.0,IBRA
VAMO3,VAMOS,ON      NM,0.054,448052066.0,IBRA
VBBR3,VIBRA,ON      NM,1.522,1192004780.0,IBRA
VTRU3,VITRUEDUCA,ON      NM,0.066,140102964.0,IBRA
VIVA3,VIVARA S.A.,ON      NM,0.1,123698325.0,IBRA
VULC3,VULCABRAS,ON      NM,0.056,110618680.0,IBRA
WEGE3,WEG,ON      NM,2.639,1485954732.0,IBRA
YDUQ3,YDUQS PART,ON      NM,0.077,261365845.0,IBRA
TTEN3,3TENTOS,ON      NM,0.403,113066386.0,SMLL
ABCB4,ABC BRASIL,PN      N2,0.577,78936556.0,SMLL
ALOS3,ALLOS,ON      NM,3.978,478558715.0,SMLL
ALPA4,ALPARGATAS,PN      N1,0.485,128924117.0,SMLL
ALUP11,ALUPAR,UNT     N2,1.56,157537587.0,SMLL
ANIM3,ANIMA,ON      NM,0.167,256720485.0,SMLL
ARML3,ARMAC,ON      NM,0.184,172086226.0,SMLL
ASAI3,ASSAI,ON      NM,3.574,1338623499.0,SMLL
AURE3,AUREN,ON      NM,1.073,317799925.0,SMLL
AZZA3,AZZAS 2154,ON      NM,0.529,109571260.0,SMLL
BRSR6,BANRISUL,PNB     N1,0.881,202536440.0,SMLL
