codigo,empresa,indices,origem,motivo_saida,sucessor
PMAM3,Paranapanema,,candidato_historico,recuperação judicial,
BTOW3,B2W Digital,,candidato_historico,fusão com Lojas Americanas (2021),AMER3
LAME3,Lojas Americanas ON,,candidato_historico,reorganização Americanas (2021),AMER3
LAME4,Lojas Americanas PN,,candidato_historico,reorganização Americanas (2021),AMER3
VVAR3,Via Varejo,,candidato_historico,"virou Via, depois Casas Bahia",BHIA3
VVAR11,Via Varejo units,,candidato_historico,unificação de classes,BHIA3
VIIA3,Via,,candidato_historico,virou Grupo Casas Bahia (2023),BHIA3
KROT3,Kroton,,candidato_historico,virou Cogna (2019),COGN3
ESTC3,Estácio,,candidato_historico,virou Yduqs (2020),YDUQ3
HGTX3,Cia Hering,,candidato_historico,incorporada pelo Grupo Soma (2021),AZZA3
SOMA3,Grupo Soma,,candidato_historico,fusão com Arezzo (2024),AZZA3
ARZZ3,Arezzo,,candidato_historico,"fusão com Soma, virou Azzas (2024)",AZZA3
BRML3,BR Malls,,candidato_historico,fusão com Aliansce Sonae (2022),ALOS3
ALSC3,Aliansce Shopping,,candidato_historico,fusão com Sonae (2019),ALOS3
ALSO3,Aliansce Sonae,,candidato_historico,fusão com BR Malls (2022),ALOS3
LCAM3,Unidas (Loc. Américas),,candidato_historico,incorporada pela Localiza (2022),RENT3
PCAR4,Pão de Açúcar PN,,candidato_historico,unificação de classes (2020),PCAR3
BVMF3,BM&FBovespa,,candidato_historico,virou B3 (2017),B3SA3
SUZB5,Suzano PNA,,candidato_historico,unificação de classes (2017),SUZB3
TIMP3,TIM Participações,,candidato_historico,reorganização (2020),TIMS3
VIVT4,Telefônica Brasil PN,,candidato_historico,unificação de classes (2021),VIVT3
BRDT3,Petrobras Distribuidora,,candidato_historico,virou Vibra Energia (2021),VBBR3
CCRO3,CCR,,candidato_historico,virou Motiva (2025),MOTV3
DTEX3,Duratex,,candidato_historico,virou Dexco (2021),DXCO3
HRTP3,HRT Participações,,candidato_historico,virou PetroRio/PRIO,PRIO3
MPXE3,MPX Energia,,candidato_historico,virou Eneva (2014),ENEV3
TRPL4,ISA CTEEP PN,,candidato_historico,virou ISA Energia (2024),ISAE4
TRPL3,ISA CTEEP ON,,candidato_historico,virou ISA Energia (2024),ISAE3
CARD3,CSU CardSystem,,candidato_historico,virou CSU Digital,CSUD3
CGAS5,Comgás,,candidato_historico,saiu do índice,
LIGT3,Light,,candidato_historico,recuperação judicial (2023),
EMAE4,EMAE,,candidato_historico,baixa liquidez,
COCE5,Coelce,,candidato_historico,baixa liquidez,
CPLE5,Copel PNA,,candidato_historico,classe descontinuada,
OIBR3,Oi ON,,candidato_historico,recuperação judicial,
OIBR4,Oi PN,,candidato_historico,recuperação judicial,
ELET6,Eletrobras PNB,,candidato_historico,classe menos líquida,
IDNT3,Ideiasnet,,candidato_historico,baixa liquidez,
AMAR3,Marisa Lojas,,candidato_historico,reestruturação,
SEDU3,Somos Educação,,candidato_historico,adquirida pela Kroton (2018),
TCNO4,Tecnosolo,,candidato_historico,baixa liquidez,
CRDE3,CR2 Empreendimentos,,candidato_historico,baixa liquidez,
GPCP3,GPC Participações,,candidato_historico,baixa liquidez,
SGPS3,Springs Global,,candidato_historico,baixa liquidez,
TLPP4,Telesp,,candidato_historico,reorganização Telefônica,VIVT3
TNLP4,Telemar Norte Leste,,candidato_historico,reorganização Oi,OIBR4
TMAR5,Telemar,,candidato_historico,reorganização Oi,OIBR4
CMET4,Caemi Metalurgia,,candidato_historico,incorporada pela Vale,VALE3
