ticker,grupo,n_obs,inicio,fim,liquidez_mediana,empresa,origem,motivo_saida,sucessor,meses_no_universo,serie_encerrada
AZZA3,AZZA,3854,2011-02-02,2026-08-05,16706519.994735718,AZZAS 2154,indice_vigente,,,165,False
SMTO3,SMTO,3875,2011-01-03,2026-08-05,16031861.393737793,SAO MARTINHO,indice_vigente,,,122,False
LIGT3,LIGT,3875,2011-01-03,2026-08-05,15840273.893260956,Light,candidato_historico,recuperação judicial (2023),,125,False
BRSR6,BRSR,3875,2011-01-03,2026-08-05,15153599.395751953,BANRISUL,indice_vigente,,,111,False
LJQQ3,LJQQ,1491,2020-08-10,2026-08-05,15126114.4894104,QUERO-QUERO,indice_vigente,,,0,False
RAPT4,RAPT,3875,2011-01-03,2026-08-05,15041460.416793823,RANDON PART,indice_vigente,,,125,False
EZTC3,EZTC,3875,2011-01-03,2026-08-05,14982568.209526062,EZTEC,indice_vigente,,,154,False
SAUD3,SAUD,3875,2011-01-03,2026-08-05,14467303.759002686,BRADSAUDE,indice_vigente,,,110,False
ORVR3,ORVR,1365,2021-02-17,2026-08-05,14404724.49874878,ORIZON,indice_vigente,,,8,False
POMO4,POMO,3875,2011-01-03,2026-08-05,14138393.67492199,MARCOPOLO,indice_vigente,,,140,False
VVAR11,VVAR,1192,2013-12-16,2018-11-23,13397336.19275093,Via Varejo units,candidato_historico,unificação de classes,BHIA3,56,True
ELPL4,ELPL,1733,2011-01-03,2018-03-12,13328847.19991684,Eletropaulo,candidato_historico,aquisição pela Enel e deslistagem (2018),,81,True
GFSA3,GFSA,3875,2011-01-03,2026-08-05,12860852.11843872,GAFISA,indice_vigente,,,100,False
MYPK3,MYPK,3875,2011-01-03,2026-08-05,12621248.159208298,IOCHP-MAXION,indice_vigente,,,112,False
ALUP11,ALUP,3305,2013-04-24,2026-08-05,12342004.436994553,ALUPAR,indice_vigente,,,53,False
TTEN3,TTEN,1261,2021-07-16,2026-08-05,12200255.708312988,3TENTOS,indice_vigente,,,0,False
ANIM3,ANIM,3175,2013-10-28,2026-08-05,11980799.12109375,ANIMA,indice_vigente,,,24,False
HBSA3,HBSA,1458,2020-09-25,2026-08-05,11530842.05236435,HIDROVIAS,indice_vigente,,,3,False
BRPR3,BRPR,3377,2011-01-03,2024-08-06,11463750.0,BR Properties,candidato_historico,venda de ativos e deslistagem (2022),,83,True
ALPA4,ALPA,3875,2011-01-03,2026-08-05,11126675.0,ALPARGATAS,indice_vigente,,,138,False
