codigo,empresa,indices,origem,motivo_saida,sucessor,n_obs,inicio,fim,disponivel
INTB3,INTELBRAS,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1370,2021-02-08,2026-08-05,True
IRBR3,IRBBRASIL RE,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,2246,2017-07-31,2026-08-05,True
ISAE3,ISA ENERGIA,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ISAE4,ISA ENERGIA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ITSA3,ITAUSA,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ITSA4,ITAUSA,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ITUB3,ITAUUNIBANCO,IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
ITUB4,ITAUUNIBANCO,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
JALL3,JALLESMACHAD,IGCX,indice_vigente,,,1370,2021-02-08,2026-08-05,True
JHSF3,JHSF PART,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
JSLG3,JSL,IBRA|IGCX|SMLL,indice_vigente,,,1469,2020-09-10,2026-08-05,True
KEPL3,KEPLER WEBER,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
KLBN11,KLABIN S/A,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3118,2014-01-23,2026-08-05,True
LAND3,TERRASANTAPA,IGCX,indice_vigente,,,1245,2021-08-10,2026-08-05,True
LAVV3,LAVVI,IBRA|IGCX|SMLL,indice_vigente,,,1473,2020-09-03,2026-08-05,True
LEVE3,METAL LEVE,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
LIGT3,Light,,candidato_historico,recuperação judicial (2023),,3875,2011-01-03,2026-08-05,True
LJQQ3,QUERO-QUERO,IBRA|IGCX|SMLL,indice_vigente,,,1491,2020-08-10,2026-08-05,True
LOGG3,LOG COM PROP,IBRA|IGCX|SMLL,indice_vigente,,,1894,2018-12-21,2026-08-05,True
LOGN3,LOG-IN,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
LPSB3,LOPES BRASIL,IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
LREN3,LOJAS RENNER,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
LUPA3,Lupatech,,candidato_historico,recuperação judicial,,3875,2011-01-03,2026-08-05,True
LWSA3,LWSA,IBRA|IGCX|SMLL,indice_vigente,,,1617,2020-02-06,2026-08-05,True
MATD3,MATER DEI,IGCX,indice_vigente,,,1306,2021-05-13,2026-08-05,True
MBRF3,MARFRIG,IBOV|IBRA|IBXX|IGCX,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MDIA3,M.DIASBRANCO,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MDNE3,MOURA DUBEUX,IBRA|IBXX|IGCX|SMLL,indice_vigente,,,1612,2020-02-13,2026-08-05,True
MEAL3,IMC S/A,IGCX,indice_vigente,,,3828,2011-03-14,2026-08-05,True
MELK3,MELNICK,IGCX,indice_vigente,,,1456,2020-09-29,2026-08-05,True
MGLU3,MAGAZ LUIZA,IBOV|IBRA|IBXX|IGCX|SMLL,indice_vigente,,,3795,2011-05-02,2026-08-05,True
MILS3,MILLS,IBRA|IGCX|SMLL,indice_vigente,,,3875,2011-01-03,2026-08-05,True
MLAS3,MULTILASER,IGCX,indice_vigente,,,1258,2021-07-22,2026-08-05,True
